;;;;;;;;;
;;;;;;;;;
;Marktanteile der größten Musikverlage weltweit bis 2023;;;;;;;;
;Marktanteile der größten Musikverlage weltweit in den Jahren 2007 bis 2023;;;;;;;;
;;Sony*;Universal (UMPG);Warner Chappell;Kobalt;BMG;EMI MP;Sonstige;
;2007;11.60;22.20;14.80;;;19.80;31.60;in %
;2008;11.70;23.20;14.90;;;18.30;31.90;in %
;2009;12.30;22.90;14.40;;;19.30;31.20;in %
;2010;12.50;22.60;13.90;;;19.70;31.40;in %
;2011;11.70;22.20;14.10;;;19.30;32.60;in %
;2012;21.70;22.50;13.60;;;9.50;32.70;in %
;2013;29.40;22.60;13.20;;;;34.80;in %
;2014;29.50;23;12.50;;;;35;in %
;2015;28.30;20;11.40;;;;40.30;in %
;2016;27;19.80;12;;;;41.20;in %
;2017;27.30;19.50;12;;;;41.20;in %
;2018;26;20.20;12.30;;;;41.40;in %
;2019;25;21;11.60;7;6.60;;28.80;in %
;2020;24.50;23;11.20;7;6.40;;27.90;in %
;2021;24.90;23.20;11.80;;;;40.10;in %
;2022;24.70;23.40;12;;;;40;in %
;2023;24.90;23.30;12.40;;;;39.40;in %